sample,date,param,file,time,conc
blank,2022-04-21,31P,data-raw/shmp/2022-04-21_blank.csv,0.0017,-0.08634548510891626
blank,2022-04-21,31P,data-raw/shmp/2022-04-21_blank.csv,0.0143,0.14924714960355834
blank,2022-04-21,31P,data-raw/shmp/2022-04-21_blank.csv,0.0269,0.15313778128748456
blank,2022-04-21,31P,data-raw/shmp/2022-04-21_blank.csv,0.039483333333333336,0.18237040962352857
blank,2022-04-21,31P,data-raw/shmp/2022-04-21_blank.csv,0.052083333333333336,0.34012530979962863
blank,2022-04-21,31P,data-raw/shmp/2022-04-21_blank.csv,0.06468333333333333,0.3947009220865292
blank,2022-04-21,31P,data-raw/shmp/2022-04-21_blank.csv,0.07728333333333333,0.15602912313532435
blank,2022-04-21,31P,data-raw/shmp/2022-04-21_blank.csv,0.08988333333333333,0.2160347660369295
blank,2022-04-21,31P,data-raw/shmp/2022-04-21_blank.csv,0.10246666666666666,0.5928191216546597
blank,2022-04-21,31P,data-raw/shmp/2022-04-21_blank.csv,0.11506666666666666,0.9352101422000931
blank,2022-04-21,31P,data-raw/shmp/2022-04-21_blank.csv,0.12766666666666668,0.8775541043414838
blank,2022-04-21,31P,data-raw/shmp/2022-04-21_blank.csv,0.14026666666666668,0.707668206239155
blank,2022-04-21,31P,data-raw/shmp/2022-04-21_blank.csv,0.15286666666666668,0.9016265630333753
blank,2022-04-21,31P,data-raw/shmp/2022-04-21_blank.csv,0.16546666666666668,1.0340392929475186
blank,2022-04-21,31P,data-raw/shmp/2022-04-21_blank.csv,0.17804999999999999,0.8695839295804522
blank,2022-04-21,31P,data-raw/shmp/2022-04-21_blank.csv,0.19065000000000001,0.8644233966212158
blank,2022-04-21,31P,data-raw/shmp/2022-04-21_blank.csv,0.20325000000000001,1.0511407119314575
blank,2022-04-21,31P,data-raw/shmp/2022-04-21_blank.csv,0.21585000000000001,1.007966749800533
blank,2022-04-21,31P,data-raw/shmp/2022-04-21_blank.csv,0.22845000000000001,0.903247124585997
blank,2022-04-21,31P,data-raw/shmp/2022-04-21_blank.csv,0.24105,0.9361004769613723
blank,2022-04-21,31P,data-raw/shmp/2022-04-21_blank.csv,0.2536333333333333,0.9743839542464774
blank,2022-04-21,31P,data-raw/shmp/2022-04-21_blank.csv,0.2662333333333333,0.8787154835389548
blank,2022-04-21,31P,data-raw/shmp/2022-04-21_blank.csv,0.2788333333333333,0.5821183271973025
blank,2022-04-21,31P,data-raw/shmp/2022-04-21_blank.csv,0.2914333333333333,0.4212836864206606
blank,2022-04-21,31P,data-raw/shmp/2022-04-21_blank.csv,0.3040333333333333,0.48490978706980803
blank,2022-04-21,31P,data-raw/shmp/2022-04-21_blank.csv,0.31661666666666666,0.5431051042382999
blank,2022-04-21,31P,data-raw/shmp/2022-04-21_blank.csv,0.32921666666666666,0.5107924067409733
blank,2022-04-21,31P,data-raw/shmp/2022-04-21_blank.csv,0.34181666666666666,0.40969331602615977
blank,2022-04-21,31P,data-raw/shmp/2022-04-21_blank.csv,0.35441666666666666,0.362899253838735
blank,2022-04-21,31P,data-raw/shmp/2022-04-21_blank.csv,0.36701666666666666,0.30705427174336597
blank,2022-04-21,31P,data-raw/shmp/2022-04-21_blank.csv,0.3796,0.4195546174393523
blank,2022-04-21,31P,data-raw/shmp/2022-04-21_blank.csv,0.3922,0.5827400825937366
blank,2022-04-21,31P,data-raw/shmp/2022-04-21_blank.csv,0.4048,0.6355050735611938
blank,2022-04-21,31P,data-raw/shmp/2022-04-21_blank.csv,0.4174,0.6412057313796473
blank,2022-04-21,31P,data-raw/shmp/2022-04-21_blank.csv,0.43,0.693970900468154
blank,2022-04-21,31P,data-raw/shmp/2022-04-21_blank.csv,0.44258333333333333,0.8082815097934382
blank,2022-04-21,31P,data-raw/shmp/2022-04-21_blank.csv,0.45518333333333333,0.8338943536007983
blank,2022-04-21,31P,data-raw/shmp/2022-04-21_blank.csv,0.46778333333333333,0.7780495829338863
blank,2022-04-21,31P,data-raw/shmp/2022-04-21_blank.csv,0.48038333333333333,0.6660896388579434
blank,2022-04-21,31P,data-raw/shmp/2022-04-21_blank.csv,0.49298333333333333,0.6645501921399357
blank,2022-04-21,31P,data-raw/shmp/2022-04-21_blank.csv,0.5055833333333334,0.6720613409461995
blank,2022-04-21,31P,data-raw/shmp/2022-04-21_blank.csv,0.5181666666666667,0.5365687590917023
blank,2022-04-21,31P,data-raw/shmp/2022-04-21_blank.csv,0.5307666666666667,0.4372802028076097
blank,2022-04-21,31P,data-raw/shmp/2022-04-21_blank.csv,0.5433666666666667,0.3126492735216009
blank,2022-04-21,31P,data-raw/shmp/2022-04-21_blank.csv,0.5559666666666666,0.13371321144216664
blank,2022-04-21,31P,data-raw/shmp/2022-04-21_blank.csv,0.5685666666666667,-0.018070799054306086
blank,2022-04-21,31P,data-raw/shmp/2022-04-21_blank.csv,0.5811666666666666,3.0088017680363066e-4
blank,2022-04-21,31P,data-raw/shmp/2022-04-21_blank.csv,0.59375,0.10918068123638003
blank,2022-04-21,31P,data-raw/shmp/2022-04-21_blank.csv,0.6063500000000001,0.18547784529485334
blank,2022-04-21,31P,data-raw/shmp/2022-04-21_blank.csv,0.61895,0.08799864175960748
blank,2022-04-21,31P,data-raw/shmp/2022-04-21_blank.csv,0.6315500000000001,-0.03482270886790895
blank,2022-04-21,31P,data-raw/shmp/2022-04-21_blank.csv,0.6441333333333333,-0.003780154318479667
blank,2022-04-21,31P,data-raw/shmp/2022-04-21_blank.csv,0.6567333333333334,0.09423885693236
blank,2022-04-21,31P,data-raw/shmp/2022-04-21_blank.csv,0.6693333333333332,0.14519376673585427
blank,2022-04-21,31P,data-raw/shmp/2022-04-21_blank.csv,0.6819333333333333,0.20519988752334184
blank,2022-04-21,31P,data-raw/shmp/2022-04-21_blank.csv,0.6945333333333333,0.2525347696771574
blank,2022-04-21,31P,data-raw/shmp/2022-04-21_blank.csv,0.7071333333333333,0.3071105600869357
blank,2022-04-21,31P,data-raw/shmp/2022-04-21_blank.csv,0.7197166666666667,0.43771309894614197
