file,...1,Area,Mean,Min,Max,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret,susp,num
data-raw/TEM Images 2021-12-01/image-j/100Si-08-1-results.csv,6,3092.651,90.324,5,154,437.636,116.821,165,741,93.08,52.647,100Si,08
data-raw/TEM Images 2021-12-01/image-j/100Si-08-1-results.csv,7,926.81,128.972,69,154,400.459,90.074,1925,841,27.309,34.31,100Si,08
data-raw/TEM Images 2021-12-01/image-j/100Si-08-1-results.csv,8,2645.254,119.67,20,154,818.681,118.018,1396,993,49.674,76.224,100Si,08
data-raw/TEM Images 2021-12-01/image-j/100Si-08-1-results.csv,9,1513.489,117.019,45,154,407.655,65.111,1939,978,51.196,48.555,100Si,08
data-raw/TEM Images 2021-12-01/image-j/100Si-08-1-results.csv,10,2614.607,114.12,6,154,549.501,111.029,1263,1132,83.779,66.797,100Si,08
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,1,574.121,135.255,84,158,160.556,42.205,1141,42,171.416,25.354,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,2,577.841,129.07,68,158,185.865,44.158,533,85,140.064,29.401,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,3,3739.847,119.163,50,158,592.656,95.435,1835,279,86.689,78.226,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,4,465.001,138.663,99,158,151.378,41.314,332,233,82.333,21.888,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,5,344.721,133.779,103,158,108.331,27.828,415,241,115.115,23.221,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,6,659.061,134.804,76,158,217.045,56.276,800,313,72.072,24.98,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,7,1667.183,112.672,17,158,241.095,65.055,1322,281,128.118,47.241,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,8,705.561,133.917,91,158,178.993,49.425,779,354,22.479,27.877,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,9,2293.385,117.248,25,158,411.865,105.7,1022,402,28.474,46.663,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,10,866.762,128.303,74,158,240.08,65.198,892,410,52.853,33.434,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,11,378.821,138.339,105,158,153.875,35.081,1301,361,9.039,24.68,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,12,3686.527,102.24,8,158,404.531,101.553,1680,490,48.772,60.491,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,13,465.001,143.501,103,158,262.971,50.914,1318,474,50.648,23.733,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,14,487.321,137.962,100,158,172.694,48.031,1492,451,10.389,24.372,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,15,1603.323,134.999,78,158,552.14,115.093,1440,440,92.745,47.81,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,16,409.201,134.976,94,158,144.044,34.186,843,478,128.454,22.503,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,17,2468.225,125.927,67,158,581.824,105.265,1319,490,128.928,56.192,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,18,1473.743,109.436,36,158,189.746,59.599,1156,515,164.678,40.836,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,19,345.961,136.824,97,158,133.752,35.529,512,536,77.196,22.16,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,20,340.381,132.39,82,158,115.935,32.883,1487,498,106.699,21.158,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,21,2978.486,120.288,57,158,499.15,92.049,1799,526,169.651,68.75,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,22,1184.202,123.485,73,158,206.72,50.079,968,529,143.31,39.402,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,23,2272.925,114.089,35,158,420.121,79.309,1546,547,150.89,61.585,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,24,863.662,123.664,75,158,251.881,60.158,753,635,142.98,32.717,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,25,1485.523,136.163,76,158,512.005,77.506,1273,639,110.829,47.744,100Si,09
