date,param,r_sq
2021-08-19,31P,0.9971403848670984
2021-08-19,57Fe,0.9997307730274211
2021-08-24,31P,0.9961702376069356
2021-08-24,57Fe,0.9994050877964888
2021-10-28,31P,0.9997573349599362
2021-10-28,57Fe,0.9997920274368414
2021-11-04,31P,0.998853513346617
2021-11-04,57Fe,0.9998602022939668
2021-12-01,31P,0.999004598878359
2021-12-01,57Fe,0.9997933796690592
2022-04-21,31P,0.9935913077650196
2022-04-21,57Fe,0.994949171076552
2022-06-01,31P,0.9885497397057554
