 ,Area,Mean,Min,Max,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,2110.829,142.104,87,166,384.511,91.793,1081,59,42.221,54.537
2,483.336,151.679,132,166,136.545,45.823,1352,38,74.055,20.302
3,6549.592,75.573,0,166,354.625,110.507,820,88,137.770,86.468
4,1148.912,133.032,73,166,229.678,64.201,196,158,61.928,31.074
5,9332.337,105.465,13,166,943.101,220.238,1501,121,100.539,107.139
6,11842.512,134.877,55,166,1606.959,254.475,1704,313,62.928,136.640
7,592.680,128.011,94,166,106.459,33.872,1123,180,131.987,26.232
8,335.958,151.594,121,166,115.972,35.450,835,256,73.496,23.758
9,7901.347,126.721,33,166,984.658,194.793,135,230,104.216,104.899
10,397.761,142.996,111,166,96.820,28.706,1438,247,37.875,21.921
11,2698.755,120.698,50,166,313.552,99.090,1843,330,62.784,52.501
12,36774.701,122.117,21,166,3653.967,483.623,1055,535,32.780,308.345
13,914.376,130.660,68,166,187.868,45.944,58,334,80.538,39.650
14,774.922,129.350,91,166,121.565,43.353,1518,338,64.179,26.206
15,21458.512,125.531,41,166,2421.805,458.084,613,340,146.659,180.567
16,2093.397,118.537,58,166,275.176,107.069,454,458,87.979,33.687
17,606.943,152.525,120,166,252.822,60.280,1375,395,151.294,28.240
18,3676.519,119.629,29,166,572.632,136.427,2038,487,48.366,69.140
19,1392.957,116.420,61,166,165.588,51.843,1356,466,29.055,37.386
20,453.226,132.643,90,166,88.045,30.028,744,528,33.024,22.659
21,2790.668,113.881,32,166,366.097,96.891,321,548,155.433,57.708
22,843.064,138.492,95,166,139.063,41.846,853,536,105.709,34.551
23,3394.442,108.368,9,166,500.609,113.834,701,559,122.811,62.045
24,358.144,147.066,115,166,102.035,27.723,821,564,140.528,23.144
25,404.100,146.388,104,166,111.063,32.730,65,610,157.380,19.997
26,404.100,135.016,87,166,83.189,27.494,502,632,15.945,22.806
27,694.101,137.689,105,166,127.949,37.024,1951,649,35.311,31.088
28,721.041,137.793,94,166,151.525,46.287,658,679,67.620,28.777
29,397.761,145.131,112,166,92.828,31.471,1760,673,143.130,22.659
30,973.010,148.463,105,166,223.474,55.404,1756,688,111.318,41.358
31,2394.492,130.799,74,166,362.968,95.747,1754,721,118.250,48.942
32,1191.699,111.797,38,166,168.411,49.880,399,762,47.045,40.206
33,412.024,145.550,119,166,108.545,35.783,833,743,129.289,21.640
34,2871.488,125.333,65,166,425.099,99.601,1885,793,159.274,61.915
35,632.298,141.712,92,166,141.201,43.789,1154,803,161.565,28.519
36,502.352,148.464,113,166,116.530,42.819,615,823,24.305,22.046
37,489.674,152.194,119,166,177.060,46.219,96,812,150.642,23.122
38,564.156,145.663,114,166,130.340,41.101,72,814,130.030,27.267
39,1385.034,143.616,101,166,282.350,76.573,1039,859,27.408,36.324
40,557.817,150.284,119,166,148.449,47.936,890,824,119.932,22.157
41,687.763,138.309,83,166,142.191,43.481,1395,839,157.891,29.999
42,465.904,139.071,109,166,97.863,30.448,671,851,172.875,26.856
43,568.910,139.357,97,166,141.454,44.060,1655,875,53.130,23.472
44,1001.535,141.101,91,166,227.772,67.039,335,904,34.287,31.575
45,896.944,141.461,98,166,181.052,51.751,702,906,41.055,36.593
46,364.483,132.448,90,166,76.068,26.704,258,887,98.130,20.480
47,461.150,144.893,112,166,107.197,32.947,1643,903,133.452,26.200
48,515.030,144.108,105,166,112.106,36.766,1527,928,128.047,24.088
49,359.728,139.705,97,166,92.828,30.861,443,929,101.768,18.883
50,779.676,143.157,106,166,180.315,61.722,529,932,101.768,25.145
51,961.917,139.990,100,166,150.482,48.363,1078,975,38.660,27.740
52,400.931,148.415,119,166,87.182,31.572,1425,969,23.499,18.515
