 ,Area,Mean,Min,Max,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,638.660,152.731,138,159,219.046,50.598,1471,337,18.060,28.029
2,596.010,153.407,132,159,286.061,45.870,1447,337,136.848,34.876
3,71304.678,135.932,88,159,2850.936,387.851,1570,658,28.154,334.224
4,449.468,155.703,144,159,285.090,42.207,1876,529,41.987,30.399
5,1934.572,151.518,124,159,660.622,84.136,1504,614,122.307,64.642
6,518.365,154.648,141,159,240.469,48.173,1876,685,62.879,29.281
7,815.823,121.311,92,159,113.177,39.365,1365,965,50.389,30.318
8,8014.969,132.289,47,159,731.251,154.969,163,953,121.759,95.232
9,409.005,155.652,147,159,238.631,40.610,1258,952,145.491,28.060
10,152695.596,108.379,0,159,8308.014,783.165,1238,999,124.390,494.717
11,5469.076,127.039,61,159,546.728,109.450,905,1093,44.226,84.073
12,398.069,151.907,125,159,188.497,50.370,943,1107,4.764,20.718
13,17630.962,118.385,29,159,2136.471,291.097,1657,1397,148.366,186.942
14,1127.498,131.824,61,159,199.269,74.454,1782,1493,10.521,27.974
15,530.394,147.049,124,159,162.594,49.250,1819,1507,176.348,23.683
16,4287.992,134.034,85,159,474.217,99.264,1775,1582,11.547,82.036
17,1340.749,148.460,127,159,176.009,49.714,1607,1828,22.249,43.479
18,522.739,127.146,87,159,96.191,30.399,2126,2012,49.185,24.973
