 ,Area,Mean,Min,Max,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,998.390,126.600,77,141,276.447,61.368,1766,407,55.008,34.281
2,364.918,132.186,117,141,120.817,34.306,1752,467,81.573,22.335
3,608.196,135.569,114,141,233.051,40.533,1773,462,119.745,33.936
4,336.483,105.864,69,141,70.616,25.450,1788,536,57.095,18.664
5,34411.282,108.254,53,141,2147.138,412.724,1431,728,5.242,177.435
6,1063.159,115.367,54,141,239.982,54.410,1095,659,173.367,40.028
7,2819.820,92.312,29,141,274.617,80.538,1368,713,157.036,57.912
8,8953.916,128.506,75,141,1506.808,170.953,279,726,107.103,131.850
9,508.673,133.432,117,141,192.600,40.785,322,861,123.690,31.422
10,462.861,112.515,73,141,119.597,47.778,2103,886,26.565,16.837
11,30041.746,93.929,36,141,1661.031,315.535,1053,892,134.193,197.677
12,1462.831,130.490,98,141,383.780,82.188,1197,890,156.571,44.820
13,898.867,122.202,69,141,223.554,55.317,739,1041,111.318,42.513
14,818.301,123.249,81,141,221.903,84.135,860,1201,166.171,23.131
15,521.311,107.042,64,141,104.083,36.601,2094,1214,105.945,23.716
16,358.599,118.947,89,141,85.877,29.663,942,1298,126.384,20.832
17,8588.998,101.293,30,141,961.403,181.243,1978,1439,108.184,118.208
18,14805.240,62.284,5,141,775.071,209.506,1895,1508,146.501,113.565
19,10424.645,102.429,29,141,595.040,157.972,910,2062,74.305,108.124
20,1758.241,75.500,26,141,174.089,64.408,376,2036,162.979,40.023
