 ,Area,Mean,Min,Max,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,609.632,131.806,99,151,126.039,50.436,1996,251,175.236,23.037
2,5096.352,70.586,23,151,310.507,104.040,2123,267,139.899,75.232
3,24766.865,85.322,2,151,985.637,284.848,398,409,160.233,179.367
4,982.429,123.013,81,151,152.695,60.006,1284,431,150.751,27.867
5,2083.276,78.905,14,151,199.066,65.560,456,480,26.565,49.952
6,3078.863,133.815,103,151,405.071,106.662,878,463,136.591,53.194
7,2934.130,71.386,0,151,236.551,74.984,647,494,54.090,58.639
8,447.356,138.951,118,151,100.908,32.780,2072,519,63.435,25.131
9,399.112,141.681,126,151,114.701,39.124,2040,515,105.524,16.754
10,999.973,134.061,114,151,147.998,54.450,591,561,112.620,30.464
11,578.931,145.356,136,151,132.471,46.121,625,578,50.528,24.293
12,1114.005,85.728,27,151,139.113,43.174,459,619,129.094,35.540
13,4863.902,139.544,110,151,411.205,104.334,1499,705,51.520,75.211
14,2977.989,85.948,12,151,240.740,71.634,894,691,37.875,60.733
15,754.365,124.674,91,151,121.132,44.770,1986,684,10.784,26.719
16,3394.644,114.607,65,151,386.284,100.567,594,717,58.627,56.194
17,421.041,142.490,123,151,112.755,38.502,1710,708,67.620,20.605
18,780.680,125.011,95,151,115.717,40.447,1198,729,111.251,29.042
19,767.523,134.669,116,151,123.375,42.405,1194,771,69.775,27.644
20,1206.107,132.527,113,151,158.618,59.530,413,757,140.711,34.060
21,763.137,108.684,69,151,112.247,39.735,2183,827,161.565,29.319
22,4385.845,123.205,72,151,328.996,90.925,1548,867,61.074,74.040
23,447.356,145.480,134,151,135.433,40.663,1596,892,78.111,22.259
24,780.680,122.556,88,151,121.851,41.727,1574,881,162.474,29.319
25,93694.800,114.858,39,151,5126.496,624.214,1382,1187,83.256,460.960
26,916.642,108.976,69,151,125.531,44.524,2170,905,131.186,33.369
27,31249.143,116.644,50,151,1723.892,319.569,1119,909,118.580,218.281
28,482.443,134.336,119,151,86.310,29.985,541,967,12.095,20.942
29,3175.352,125.420,67,151,356.159,102.959,239,1011,175.333,60.824
30,4065.678,135.249,113,151,385.776,114.802,1058,1021,165.203,71.757
31,11425.125,116.577,47,151,893.999,195.315,312,1114,85.696,136.901
32,1890.299,130.729,103,151,193.142,67.537,677,1021,119.745,40.944
33,899.098,101.395,40,151,129.001,43.729,625,1084,16.699,31.414
34,372.797,132.282,104,151,79.458,28.485,1705,1129,162.897,20.732
35,1359.612,135.377,99,151,162.088,51.809,598,1187,165.964,38.185
36,399.112,137.637,120,151,83.138,27.306,766,1266,57.529,22.072
37,802.610,130.781,114,151,111.020,38.616,870,1349,77.471,31.414
38,96093.857,105.875,28,151,3953.553,640.235,1481,1361,147.558,286.409
39,706.121,132.193,101,151,113.474,41.305,584,1353,149.534,26.387
40,692.963,105.854,50,151,106.324,33.113,777,1374,34.695,29.319
41,828.925,125.466,84,151,110.512,36.574,447,1425,113.629,33.508
42,5912.119,132.971,84,151,780.017,145.154,1507,1497,136.169,92.120
43,618.404,131.404,97,151,105.307,41.252,545,1510,23.962,23.037
44,425.427,120.784,88,151,87.835,28.485,1099,1517,36.027,23.365
45,1671.007,118.997,66,151,202.535,66.226,858,1537,71.565,39.452
46,486.829,130.027,107,151,108.777,39.735,1755,1515,161.565,17.982
47,24087.059,109.404,39,151,1251.087,308.394,1597,1659,74.643,137.344
48,557.002,113.528,62,151,105.097,35.664,757,1531,49.764,26.224
49,12100.545,130.730,61,151,1238.609,251.248,1519,1551,111.003,102.679
50,355.253,129.963,96,151,83.138,28.175,1563,1552,138.013,19.668
51,614.018,128.986,100,151,118.889,38.616,763,1563,167.471,23.037
52,675.420,131.903,110,151,122.359,40.447,597,1581,68.749,25.840
53,17534.607,96.858,28,151,830.489,213.448,1678,1565,105.945,160.071
54,5841.945,74.989,15,151,370.336,123.844,482,1627,86.121,73.298
55,820.153,139.337,124,151,126.039,46.121,329,1610,50.528,28.953
56,13394.370,95.033,15,151,612.513,171.894,819,1595,112.190,122.684
57,355.253,132.333,106,151,77.215,26.490,359,1604,18.435,20.942
58,627.176,125.965,95,151,109.285,35.786,504,1621,110.556,26.224
59,1425.400,135.455,102,151,276.789,74.368,1730,1663,57.653,35.359
60,1324.525,112.401,41,151,167.205,63.383,1,1687,172.405,29.319
61,728.050,119.639,82,151,108.777,36.574,30,1702,13.241,29.319
62,372.797,128.176,100,151,70.783,25.563,692,1723,124.992,20.942
63,355.253,137.667,123,151,74.972,26.241,255,1795,61.390,20.657
64,342.096,140.885,124,151,117.154,39.735,467,1830,18.435,18.793
65,1061.374,135.967,103,151,241.038,64.071,650,1858,11.310,33.638
66,842.082,130.568,102,151,143.301,52.981,384,1912,18.435,26.717
67,942.957,107.023,55,151,139.621,44.376,335,1987,70.710,34.060
68,1806.968,97.665,55,151,172.410,57.924,436,2052,40.601,46.358
69,14372.413,90.858,15,151,832.645,205.620,647,2177,146.634,142.408
70,337.710,144.610,132,151,82.122,31.967,671,2178,31.608,18.848
71,2320.112,112.588,48,151,312.031,84.810,166,2219,57.095,60.545
72,1978.016,132.146,99,151,322.651,98.162,737,2231,78.930,51.921
73,4460.404,134.755,90,151,544.518,138.061,168,2231,22.286,79.581
74,837.696,141.958,131,151,153.921,47.480,224,2231,41.424,31.365
