 ,Area,Mean,Min,Max,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,1735.665,112.155,31,151,341.412,69.879,374,165,55.359,42.962
2,7792.738,115.564,26,151,1821.319,231.466,1245,103,103.848,100.403
3,369.041,124.550,76,151,119.907,31.515,1108,164,174.289,22.430
4,9271.085,108.613,0,151,1917.193,250.170,40,408,29.403,141.946
5,6838.313,118.074,47,151,1391.591,194.864,970,169,127.700,96.678
6,890.778,124.228,67,151,296.569,71.082,438,345,58.530,31.288
7,468.744,119.589,66,151,177.105,48.637,1399,467,171.347,20.709
