 ,Area,Mean,Min,Max,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,1092.503,98.244,57,137,145.713,46.415,1439,80,14.349,34.721
2,2727.430,128.498,84,137,762.203,101.114,708,356,100.729,76.051
3,855.192,93.434,65,137,117.509,38.066,270,376,105.945,32.418
4,339.015,129.371,112,137,171.362,38.066,1990,478,105.945,23.007
5,7370.840,109.559,44,137,807.455,141.389,2011,485,119.219,92.515
6,360.887,130.461,107,137,148.820,33.366,2099,593,147.804,24.052
7,15533.444,73.654,3,137,1496.851,201.849,257,853,169.854,167.667
8,7029.638,120.960,80,137,749.654,121.420,1661,887,110.152,99.054
9,2823.666,102.529,41,137,582.537,96.130,1647,991,112.380,66.513
10,37633.936,76.819,31,137,1277.131,268.858,1643,1062,91.560,204.857
11,2014.405,74.229,30,137,206.725,63.447,305,1147,81.469,49.658
