 ,Area,Mean,Min,Max,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
89,1915.184,132.105,73,158,452.717,107.370,616,1877,39.644,44.986
90,2495.505,127.852,52,158,608.707,103.249,1844,1871,28.715,63.036
91,474.921,131.530,82,158,152.953,47.251,1576,1861,66.425,20.930
92,2685.225,127.058,71,158,566.550,94.610,1681,1920,67.490,68.317
93,1257.983,133.465,77,158,449.917,77.230,1421,1832,106.587,41.448
94,938.682,123.655,53,158,221.466,58.797,1791,1885,159.624,31.387
95,361.461,134.422,91,158,93.045,27.151,1369,1899,106.858,22.974
96,469.341,142.268,100,158,191.545,42.381,1208,1908,125.166,23.757
97,2482.485,127.341,61,158,521.612,100.615,1345,1951,107.301,61.530
98,12941.286,96.392,0,158,1353.868,195.728,1468,2024,147.653,148.445
99,370.761,143.050,117,158,132.829,36.536,273,2056,37.117,20.278
100,1820.944,127.454,70,158,381.370,100.012,1150,2040,158.282,39.955
101,440.821,139.896,88,158,154.607,41.081,1764,2121,77.829,20.110
102,384.401,143.813,112,158,168.351,36.297,1665,2087,167.471,24.596
103,1530.163,123.494,57,158,334.443,63.716,1343,2115,129.987,50.394
104,3041.106,130.365,68,158,680.831,122.958,2148,2111,124.301,74.315
105,2074.524,124.218,73,158,403.147,103.895,1291,2118,115.594,44.040
106,1050.282,128.502,77,158,312.600,65.169,1105,2240,64.983,41.819
107,438.961,136.778,83,158,141.435,45.913,1041,2175,95.906,18.110
108,365.801,129.792,84,158,98.118,29.556,1564,2189,138.240,19.487
109,391.221,133.250,98,158,110.558,32.129,97,2182,107.103,21.204
