 ,Area,Mean,Min,Max,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,5664.331,95.181,24,137,551.072,149.233,128,17,135.855,92.078
2,10001.860,107.082,23,137,1421.413,252.853,1826,13,166.310,118.425
3,344.721,115.201,82,137,95.160,31.060,31,14,120.466,20.609
4,1076.322,112.509,79,137,198.464,58.966,985,23,124.114,35.359
5,4726.889,102.919,23,137,514.675,142.125,755,114,74.578,70.166
6,523.281,123.934,93,137,127.802,45.452,344,85,75.964,20.092
7,359.601,115.297,73,137,93.855,34.681,394,75,50.528,22.627
8,853.122,109.328,67,137,179.342,67.643,1169,136,24.775,24.564
9,2353.525,109.718,58,137,342.554,93.645,1121,168,42.274,57.124
10,622.481,116.773,94,137,115.744,43.869,1338,148,68.962,22.324
11,337.281,109.463,84,137,71.966,30.087,1361,179,42.879,16.703
12,1411.123,113.077,61,137,301.069,84.410,256,233,75.964,39.701
13,6780.334,60.398,0,137,353.084,112.519,911,192,136.701,88.433
14,406.721,112.860,80,137,91.628,29.038,1244,218,49.399,23.818
15,7812.016,79.718,8,137,776.736,167.995,1460,214,96.459,109.185
16,12385.145,103.432,32,137,1253.075,257.773,1625,368,63.905,136.536
17,1304.483,102.470,41,137,207.372,66.441,410,262,58.570,31.833
18,674.561,95.452,63,137,101.999,36.255,1154,265,145.620,28.171
19,357.121,110.597,85,137,75.498,25.829,987,297,52.431,21.128
20,431.521,107.431,76,136,85.487,29.038,1411,316,40.601,22.047
21,466.241,117.718,88,137,112.054,37.433,922,327,67.751,26.727
22,1619.443,80.519,29,137,174.888,60.358,1482,314,97.496,44.094
23,8007.936,98.721,23,137,1065.207,194.059,363,319,105.051,108.364
24,2852.006,89.631,18,137,329.415,98.661,1735,378,61.390,55.218
25,414.161,123.635,90,137,115.362,42.984,1554,352,8.427,18.752
26,37346.395,94.141,3,137,3562.896,489.665,1103,549,32.923,312.050
27,952.322,98.852,57,137,161.907,45.913,1464,378,22.166,39.976
28,1039.122,100.427,34,137,164.517,46.822,284,387,160.346,40.295
29,21970.364,97.197,23,137,2339.090,459.575,745,398,147.454,182.689
30,2244.404,89.713,35,137,260.375,105.805,618,493,85.732,35.587
31,533.201,121.856,85,137,160.062,59.280,1353,459,39.611,26.404
32,3945.688,91.489,15,137,518.206,140.590,1892,504,48.633,72.861
33,394.321,119.327,87,136,92.933,30.251,1381,441,141.340,22.535
34,10056.420,105.052,22,137,1265.133,190.941,2109,573,65.126,129.942
35,1480.563,86.441,39,137,155.766,54.302,1345,490,16.858,37.795
36,1190.402,116.517,82,137,266.358,72.953,2015,535,166.264,38.766
37,513.361,101.348,61,137,92.010,31.692,851,546,26.565,25.197
38,915.122,106.192,60,137,134.800,41.606,943,575,60.524,36.220
39,2904.086,86.730,19,137,334.028,97.917,513,566,152.199,61.001
40,3625.767,85.050,4,137,471.885,117.056,814,573,146.524,66.813
41,446.401,115.917,84,137,92.010,30.087,913,575,137.121,25.149
42,753.922,102.283,70,137,121.121,38.446,1826,636,34.992,31.740
43,458.801,98.973,57,137,87.015,29.880,658,632,18.435,23.385
44,530.721,111.981,82,137,109.985,39.871,309,629,9.090,21.761
45,394.321,119.975,84,137,109.445,39.496,1552,629,156.501,20.424
46,788.642,105.623,62,137,136.711,46.822,784,669,70.346,31.884
47,443.921,112.045,89,137,90.323,31.887,1672,658,147.095,23.162
48,1066.402,116.867,69,137,189.173,55.655,1669,670,115.115,39.564
49,419.121,115.278,85,137,100.536,37.433,192,679,104.621,17.158
50,362.081,116.247,84,137,87.174,35.389,1607,691,159.146,17.928
51,2499.845,99.106,39,137,349.618,95.142,1669,697,118.686,49.268
52,1264.803,82.355,27,137,151.154,47.973,572,715,156.801,40.941
53,468.721,113.704,84,137,105.755,38.122,925,718,128.290,22.271
54,399.281,120.081,93,137,96.464,31.496,409,723,143.130,23.401
55,3003.286,93.894,36,137,363.744,99.163,1774,752,159.550,62.688
56,672.081,118.686,81,137,138.173,44.820,2094,773,71.565,29.921
57,714.241,108.583,63,137,132.256,44.459,1185,766,157.068,30.706
58,570.401,114.383,78,137,112.212,45.123,750,786,29.249,21.873
59,1505.363,111.815,67,137,218.125,78.330,1091,813,30.174,35.418
60,580.321,121.145,86,137,157.137,47.973,335,785,156.801,22.265
61,669.601,118.352,88,137,145.079,50.048,972,783,114.146,25.149
62,748.961,104.503,44,137,127.262,44.820,1379,795,161.565,29.185
63,652.241,114.266,86,137,114.822,40.335,319,786,128.660,28.554
64,664.641,106.735,68,137,122.043,44.570,1592,822,57.995,25.354
65,540.641,106.904,73,137,100.154,33.665,794,810,10.784,28.366
66,372.001,110.713,79,137,74.193,26.210,409,810,147.265,20.243
67,1220.162,108.472,54,137,250.227,73.275,528,858,61.783,35.467
68,406.721,107.799,76,137,89.019,36.357,1309,826,17.650,18.899
69,1093.682,111.041,70,137,191.624,60.502,816,855,38.660,38.735
70,414.161,97.850,54,137,78.647,27.185,466,841,100.008,21.832
