 ,Area,Mean,Min,Max,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,777.131,134.468,84,160,176.847,51.136,274,125,59.237,25.386
2,6154.655,95.312,4,160,526.270,138.008,54,96,109.946,93.136
3,599.813,137.057,97,160,144.297,42.057,249,116,95.711,26.155
4,3199.370,124.987,69,160,519.380,114.041,949,434,22.094,73.578
5,20890.584,119.454,31,160,2299.305,347.810,1577,453,174.650,192.125
6,8523.262,120.924,45,160,1260.712,179.960,1088,485,156.714,136.118
7,2036.958,129.423,58,160,465.187,91.995,999,451,162.801,68.822
8,353.540,142.297,118,160,83.320,27.201,1093,602,67.380,21.753
9,508.966,140.086,109,160,109.803,34.318,286,636,142.431,26.155
10,2212.086,137.186,89,160,564.064,114.702,66,732,128.333,66.065
11,973.055,136.242,82,160,192.869,58.034,959,745,152.049,28.824
12,4923.286,130.498,72,160,870.369,165.978,1405,795,149.718,102.036
13,488.169,145.639,118,160,138.633,48.364,1361,865,38.853,19.768
14,380.903,144.756,119,160,120.370,36.617,1331,840,143.130,25.434
15,938.029,135.211,96,160,176.234,46.436,1584,1009,104.349,36.617
16,1705.309,114.694,47,160,210.834,65.050,495,1132,152.199,45.528
17,577.922,144.511,112,160,168.224,43.313,417,1160,52.853,27.195
18,897.531,114.427,74,160,144.656,45.890,523,1186,155.772,34.030
19,2628.015,123.497,56,160,457.641,101.762,395,1205,165.107,64.440
20,901.909,137.900,74,160,257.313,54.292,523,1239,25.084,37.729
21,1278.435,125.848,78,160,255.431,68.204,730,1275,69.341,38.432
22,665.486,137.457,68,160,167.716,52.571,294,1298,47.420,29.933
23,3584.652,133.016,86,160,539.227,120.745,586,1354,27.897,72.541
24,360.107,143.626,118,160,88.730,29.757,323,1316,10.125,20.845
25,3495.993,116.368,39,160,435.237,114.171,399,1308,117.269,62.105
26,1301.420,134.812,91,160,297.830,63.741,774,1310,113.199,42.498
27,770.563,137.720,103,160,188.894,46.998,704,1353,16.821,33.564
28,863.600,134.309,89,160,179.150,50.792,476,1346,122.381,36.495
29,445.482,140.749,110,160,96.487,31.386,395,1422,36.870,23.017
30,462.995,133.314,95,160,103.018,31.819,501,1423,9.462,25.837
31,732.254,127.330,81,160,139.245,47.079,812,1415,143.130,27.372
32,511.155,142.463,100,160,157.867,40.425,78,1452,10.437,27.993
