 ,Area,Mean,Min,Max,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,371.270,130.893,119,137,126.597,35.179,1115,117,79.695,20.452
2,35260.706,88.627,9,137,2822.034,399.718,760,291,1.353,255.198
3,527.203,116.540,85,137,108.574,39.079,1003,227,130.101,24.553
4,1452.901,119.608,54,137,450.698,97.135,703,263,24.905,42.906
5,2279.595,125.191,89,137,517.380,97.858,711,306,36.501,57.697
6,7935.268,62.219,7,137,442.208,136.611,842,293,141.546,99.933
7,591.556,107.636,61,137,112.484,34.360,791,316,105.945,29.892
8,1314.294,117.945,85,137,278.682,57.007,784,339,152.021,45.579
9,34968.640,78.282,10,137,1619.140,343.665,1406,541,60.971,179.054
10,740.064,119.883,85,137,164.355,50.736,1216,402,97.125,33.996
11,6462.565,98.578,43,137,762.307,159.707,1281,501,55.840,103.835
12,9358.468,102.694,46,137,1103.352,263.444,1221,607,82.451,106.958
13,1039.555,108.555,61,137,234.183,78.663,1342,504,36.870,31.981
14,1334.095,125.616,94,137,307.066,75.778,1310,497,138.366,48.244
15,4697.797,122.772,84,137,809.635,133.365,1253,506,107.152,109.064
16,480.175,108.021,68,137,104.887,33.889,41,561,158.199,26.212
17,348.993,114.780,93,137,71.895,28.143,1511,575,116.565,19.700
18,9704.986,98.988,29,137,765.295,234.436,1183,585,127.639,109.047
19,556.904,110.844,80,137,129.520,46.458,1447,627,118.301,22.696
20,888.572,94.577,62,137,113.024,38.857,1288,689,21.371,33.038
21,346.518,112.729,87,137,71.132,26.184,1324,695,57.265,18.879
22,10865.822,65.949,5,137,689.964,168.066,244,913,128.157,122.413
23,457.899,121.616,94,137,126.531,44.720,1833,1115,50.711,24.435
24,7398.164,106.858,35,137,1178.486,197.034,1772,1215,62.412,139.570
25,1920.701,111.977,83,137,214.001,68.721,759,1309,74.055,45.624
26,19256.513,101.094,28,137,2202.281,285.037,1638,1529,8.890,176.023
27,2304.346,86.922,51,137,226.903,84.854,1539,1481,169.315,40.448
28,1853.873,102.909,44,137,270.927,75.778,1632,1529,85.236,46.005
29,7103.624,96.585,23,137,578.467,146.861,1528,1503,134.132,88.512
30,1697.939,108.265,62,137,234.025,72.796,1514,1553,83.797,49.462
31,952.925,116.504,78,137,208.853,65.266,1701,1619,74.624,43.543
32,383.645,124.845,107,137,125.070,49.376,1662,1601,157.521,19.320
33,430.673,116.897,98,137,120.080,40.448,1732,1635,76.504,20.175
34,20551.007,75.440,14,137,998.650,220.934,1485,1973,81.812,160.950
35,678.186,105.536,66,137,133.048,38.408,1402,1907,55.008,31.079
