 ,Area,Mean,Min,Max,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,359.012,129.849,83,154,167.484,39.869,1769,21,128.073,19.720
2,10811.693,114.650,0,154,2228.321,239.883,1479,855,87.125,157.357
3,608.296,123.610,60,154,249.609,47.047,1799,491,131.845,30.390
4,14101.637,108.957,0,154,2300.872,281.461,1759,1037,89.148,157.026
5,1571.227,124.557,64,154,447.814,101.013,1200,814,43.531,37.882
6,3092.651,90.324,5,154,437.636,116.821,165,741,93.080,52.647
7,926.810,128.972,69,154,400.459,90.074,1925,841,27.309,34.310
8,2645.254,119.670,20,154,818.681,118.018,1396,993,49.674,76.224
9,1513.489,117.019,45,154,407.655,65.111,1939,978,51.196,48.555
10,2614.607,114.120,6,154,549.501,111.029,1263,1132,83.779,66.797
