 ,Area,Mean,Min,Max,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,5663.091,82.282,1,127,972.801,214.984,120,408,179.161,86.223
2,1063.922,94.935,45,127,202.918,65.297,1018,681,33.690,29.341
3,14974.890,86.930,8,127,2060.410,314.193,1186,874,128.794,133.145
4,639.221,102.034,56,127,160.636,46.081,720,1090,73.113,30.576
5,9705.499,87.871,3,127,1427.586,194.495,1413,1458,70.611,137.749
6,2279.745,82.317,14,127,380.415,92.997,1174,1353,87.574,54.144
7,10492.901,86.022,0,127,1530.825,241.197,1180,1598,73.695,124.628
8,944.882,94.072,30,127,190.128,56.589,254,1338,148.079,35.110
9,6788.394,86.872,10,127,984.147,165.923,157,1770,106.543,75.603
10,717.961,94.206,40,127,163.054,44.605,1163,1814,159.326,30.700
11,1129.642,92.492,26,127,227.416,58.634,1914,1900,157.913,36.473
12,2357.865,74.009,3,127,314.939,94.816,912,2018,131.634,42.379
13,2838.366,92.014,19,127,625.140,98.765,1053,2114,35.591,77.842
